name,ra,dec,priority,type
3DHST_14582,189.132065,62.213680,23,TARGET
3DHST_19661,188.949158,62.238186,7,TARGET
3DHST_25522,189.130188,62.267406,25,TARGET
3DHST_33465,189.204544,62.312901,26,TARGET
3DHST_12504,189.286957,62.204021,27,TARGET
3DHST_20347,189.254990,62.241894,28,TARGET
3DHST_25437,189.234360,62.266373,29,TARGET
3DHST_27575,189.449219,62.277607,30,TARGET
3DHST_703,189.072617,62.118263,31,TARGET
3DHST_724,189.172592,62.119579,32,TARGET
3DHST_26879,189.250397,62.273987,33,TARGET
3DHST_30405,189.083710,62.292988,7,TARGET
